term,definition,lang,source
draft,Additional content for a video game that is acquired through a digital delivery system.,en,wikipedia_glossary
dragon kill points (DKP),See damage per minute .,en,wikipedia_glossary
drift,See damage per second .,en,wikipedia_glossary
drop rate,A semi-formal score-keeping system used by guild s in massively multiplayer online games that is redeemed after killing bosses or completing other challenges.,en,wikipedia_glossary
"drop-in, drop-out","Also stick drift . A typical malfunction that affects the analog stick (s) of a gamepad , in which its neutral position is set somewhere on its fringe, instead of the central position that it default maintains when the analog stick is unmoved. This can cause undesired gameplay effects, such as causing a character to constantly move or the game camera to constantly be locked to one skewed angle while the analog stick(s) is/are unmoved, depending on which stick is affected or the game's controls.",en,wikipedia_glossary
Dummied out,See digital rights management .,en,wikipedia_glossary
dungeon,"The probability of obtaining a particular item from a loot box or booster pack in certain video games, particularly in games with microtransactions .",en,wikipedia_glossary
dungeon crawl,"A type of competitive or cooperative multiplayer game that enables a player to join the game at any time without waiting and leave without any penalty, and without affecting the game for other players.",en,wikipedia_glossary
duping,"Refers to content that existed in a game during development and is in the code, but is not actually present in typical gameplay. Lots of aspects in a game can be this, such as cutscenes, weapons, characters (playable or not), items, missions or levels. There are many reasons why content may be subject to this, like if it was too buggy, if it was too unbalanced, if it was never intended to be released (like a weapon that's overpowered on purpose so the developers can get through the story easily), copyright issues (such as if a license to use a copyrighted character expired), if programming it couldn't be finished in time (such as to meet a release date), or any other reason.",en,wikipedia_glossary
dynamic game difficulty balancing,"See also level In an open world game such as an RPG , an enclosed area filled with hostile NPCs where the player is likely to come under attack. In this sense, it can be used to refer to literal "" dungeons "" or include any number of other places, such as caves, ships, forests, sewers or buildings. Dungeons may be maze-like or contain puzzles that the player must solve and often hide valuable items within to encourage player exploration.",en,wikipedia_glossary
dynamic music,"A genre of video game that is based on exploring dungeons or similar setting, defeating monsters and collecting loot.",en,wikipedia_glossary
early access,"Also software testing and Software release life cycle . A development model where players are able to purchase and play a game as it currently stands, be it early in development or close to a full release. On the developer's end, early access allows them to gather player feedback and further the game's development with the money made from these sales. See also open beta.",en,wikipedia_glossary
Elo hell,"The phenomenon of being stuck at a lower rank than is reflective of the player's true skill level in competitive video games that utilize the Elo rating system which may occur for various reasons, usually due to unbalanced matchmaking (where the player may happen to have teammate/s of inferior skill).
Quite often, Elo hell is not real, and used as a scapegoat when gamers don't want to admit their flaws, or cannot find them. The term is quite frequent in games like Counter-Strike 2 , where low-ranking players with high mechanical skill claim that they 'aught to be Global Elite' (the highest rank in the game), but fail to prepare for fights, manage their in-game money, or communicate strategies to their teammates.",en,wikipedia_glossary
emergent gameplay,"Gameplay that develops as a result of player creativity, rather than the game's programmed structure. [ 15 ] EVE Online is well-known for its emergent gameplay, which allows player-formed alliances to fight extended 'wars' over valuable territory and resources, or simply become 'space pirates' and prey on other player-operated vessels.",en,wikipedia_glossary
emulator,"A software program that is designed to replicate the software and hardware of a video game console on more modern computers and other devices. Emulators typically include the ability to load software images of cartridges and other similar hardware-based game distribution methods from the earlier hardware generations, in addition to more-traditional software images.",en,wikipedia_glossary
end game,"The gameplay of a given title at the climax of its storyline or campaign, and is followed by the postgame .",en,wikipedia_glossary
end game loop,The gameplay available in a massively multiplayer online game for characters that have completed all of the currently-available content. Repeatable content after the climax of the storyline or campaign.,en,wikipedia_glossary
endless mode,"A game mode in which players are challenged to last as long as possible against a continuing threat with limited resources or player-character lives, with their performance ranked on how long they survive before succumbing to the threat (such as the death of the player-character) or on score. This mode is typically offered in games that otherwise have normal endings that can be reached, providing an additional challenge to the players once the main game is completed.",en,wikipedia_glossary
endless runner,Also infinite runner . A subgenre of platform game in which the player character runs for an infinite amount of time while avoiding obstacles. The player's objective is to reach a high score by surviving for as long as possible. [ 57 ],en,wikipedia_glossary
enemy,A non-player character that tries to harm the player.,en,wikipedia_glossary
energy,1.  A game mechanic using a character resource-pool which governs how often the character is allowed to use a special ability.,en,wikipedia_glossary
engine,"2.  How often a player is allowed to play a particular free-to-play game; energy can be replenished instantly with an in-app purchase , or replenished slowly by waiting and not playing the game.",en,wikipedia_glossary
environmental storytelling,3.  (Usually in futuristic games) The player's health .,en,wikipedia_glossary
ESP cheats (extra-sensory perception cheats),See game engine .,en,wikipedia_glossary
esports,"Story that is conveyed via the physical design or set dressing of a game's world, rather than cutscenes or dialogue. [ 58 ]",en,wikipedia_glossary
"experience point (XP, EXP)","A package of multiple cheats . e.g., ""distance ESP"" shows the distance between the enemy and the player, ""player ESP"" makes enemies highly visible, and ""weapon ESP"" shows enemy weapons. [ 13 ] : 120",en,wikipedia_glossary
expansion pack (Add-on),"Also electronic sports , e-sports , eSports , competitive gaming , cybersports and professional gaming . Organized competitions around competitive video games, often played for prize money and recognition.",en,wikipedia_glossary
face button,A usually circular button on the right side of a traditional gamepad that is pressed very frequently in normal gameplay.  Modern gamepads usually have four arranged in a diamond formation.,en,wikipedia_glossary
fangame,"A video game made by fans, based on one or more established video games. Retrogamers may clone early video games to take advantage of more advanced hardware and game engines .",en,wikipedia_glossary
farming,"Repeating a battle, quest, or other part of a game in order to receive more or duplicates of specific reward items that can be gained through that battle or quest, such as experience point s, game money, or specific reward items. Gold farming is a type of farming done for in-game currency. See grinding .",en,wikipedia_glossary
fast travel,"Common in role-playing games, a means by which to have the player-character(s) teleport between already-discovered portions of the game's world without having to actually interactively move that distance. [ 60 ]",en,wikipedia_glossary
fear of missing out (FOMO),"A term used around ongoing games with rotating content, the ""fear of missing out"" is an expression related to the psychological and social anxiety effect for players concerned about missing the opportunity to obtain limited-time items while they are available and thus devote more time and resources into the game as to obtain those items. This can include additional expenditures for microtransactions for free-to-play or freemium games. [ 61 ]",en,wikipedia_glossary
field of view (FOV),"Also field of vision . A measurement reflecting how much of the game world is visible in a first-person perspective on the display screen, typically represented as an angle. May also refer to the general amount of the game world that is visible on the screen, typically in games where being able to see a lot at once is important, such as strategy games and platformers .",en,wikipedia_glossary
first-party developer,"A developer that is either owned directly by a console maker or has special arrangements with the console maker; such developers have greater access to internal details about a console compared to traditional developers. A developer that isn't owned by a console maker but have special arrangements with them may be referred to as a second-party developer , instead. Games developed by a first-party developer are often referred to as 'first-party games.'",en,wikipedia_glossary
first-person,A graphical perspective rendered from the viewpoint of the player-character .,en,wikipedia_glossary
first-person shooter (FPS),"A genre of video game where the player experiences the game from the first-person perspective , where the primary mechanic is the use of guns and other ranged weapons to defeat enemies.",en,wikipedia_glossary
flashing invulnerability,"Also invincibility frames , invulnerability period , mercy invincibility . An invincibility or immunity to damage that occurs after the player takes damage for a short time, indicated by the player-character blinking or buffering. [ citation needed ]",en,wikipedia_glossary
flip-screen,"A game environment divided into single-screen portions, similar to individual tiles in a maze. Players see only one such screen at a time, and they transfer between screens by moving the player-character to the current screen's edge. The picture then abruptly ""flips"" to the next screen, hence the technique's name. [ 62 ] [ 63 ] UK magazines also refer to this as flick-screen . [ 64 ]",en,wikipedia_glossary
fog of war,"The player cannot see enemy activity beneath the greyed-out fog of war. Common in strategy games, a 'fog' covers unobservable areas of the map and hides any enemy units in that area.",en,wikipedia_glossary
foozle,The final boss in a game.,en,wikipedia_glossary
frame rate,To kill or achieve a kill in a game against a player or non-player opponent. [ 66 ] See also gibs .,en,wikipedia_glossary
frame-perfect,"A measure of the rendering speed of a video game's graphics, typically in frames per second (FPS).",en,wikipedia_glossary
free look,An action that must be performed within a single frame for perfect execution.,en,wikipedia_glossary
freemium,"1.  To be able to look around the map freely, usually limited by typical mechanics of the game such as the boundaries of the game world . This is usually an ability that is disabled to common users, but left in the game coding as a developer's tool and is unlockable if the proper code is known. May also be allowed by a non-player in a multiplayer game to allow seeing every player's progress, especially in e-sports . Typically eliminates fog of war in relevant games.",en,wikipedia_glossary
free-to-play (F2P or FtP),"2.  Also called mouselook , a method of control where the player uses the computer mouse to indicate the direction they desire the player-character to look.",en,wikipedia_glossary
friendslop,"A pricing strategy by which a product or service (typically a digital offering or an application such as software, media, games or web services) is provided free of charge, but money (premium) is charged for additional features, services, or virtual (online) or physical (offline) goods.",en,wikipedia_glossary
full combo (FC),"Games that do not require purchase from a retailer, either physical or digital, to play. Highly prevalent on smartphones, free-to-play games may also provide additional gameplay-enhancing purchases via an in-app purchase . Games that require in-app purchases in order to remain competitive, or gamers who engage in said purchases, are known as pay to win (P2W). Compared to the P2W players , F2P players are often looked down upon. (Compare ' freemium ', a free-to-play game that follows such a model.)",en,wikipedia_glossary
gacha game,"A genre of video game that implements the gacha [ broken anchor ] (toy vending machine) mechanic. Similar to loot boxes , gacha games induce players to spend in-game currency to receive random in-game items or characters. The gacha mechanic is considered integral to the gameplay or player progression of gacha games, whereas loot boxes would not change the gameplay of the games they're attached to in a significant way if they were removed or replaced with a different reward system.",en,wikipedia_glossary
gambling,"Playing games of chance for real money or in-game currency. In video games, loot boxes are commonly associated with gambling. [ 69 ] [ 70 ]",en,wikipedia_glossary
game design,The use of design and aesthetics to create a game. Compare with video game design .,en,wikipedia_glossary
game engine,"The codebase on which a game runs. There are different subsets of engines, such as specialized ones for physics and graphics. [ 15 ] Often the game engine is only middleware which game specific behaviours are built upon, though end-users do not tend to make this distinction.",en,wikipedia_glossary
game jam,"An event where participants try to develop a game from scratch in a very short amount of time, often with a theme determined by the organiser of the jam. [ 71 ]",en,wikipedia_glossary
Game launcher,"An application program for personal computers use to launch one or more games, rather than launching the game directly. Launchers typically include additional services from the software developer to provide middleware such as friends and matchmaking services, content updating, digital-rights management, and cloud saving. A game launcher may also provide features of a digital storefront to purchase and download games. Launchers include those designed by publishers specifically for their games, such as Battle.net or Ubisoft Connect , or may be a general platform to support first- and third-party games like Steam and the Epic Games Store .",en,wikipedia_glossary
game localization,See localization .,en,wikipedia_glossary
game mechanics,"Also gameplay mechanics . An overarching term that describes how a particular game functions and what is possible within the game's environment; the rules of the game. Typical game mechanics include points , turns or lives. An unanticipated and novel use of game mechanics may lead to emergent gameplay .",en,wikipedia_glossary
game mode,"Also gameplay mode . A distinct configuration that varies game mechanics and affects gameplay , such as a single-player mode vs a multiplayer mode, campaign mode , endless mode , or god mode .",en,wikipedia_glossary
game over,1.  The end of the game.,en,wikipedia_glossary
game port,2.  The losing screen shown when a loss condition is met.,en,wikipedia_glossary
Games as a Product,"When a game is ported from one platform to another. Cross-platform ports are often criticized for their quality, particularly if platform-specific design elements (such as input methods) are not updated for the target platform.",en,wikipedia_glossary
Games as a Service (GaaS),"Also Buy-to-play . A type of business model where games are bought and sold once as a finished product that receives few to no further content updates, as opposed to games as a service where games receive content updates in the long-term on a continuing revenue model.",en,wikipedia_glossary
game save,"Also Live Service Games . A type of business model where games receive content updates in the long-term on a continuing revenue model, as opposed to games as a product , where a game is bought and sold once as a finished product that receives few to no further content updates.",en,wikipedia_glossary
Game sense,See saved game .,en,wikipedia_glossary
game studies,"Situational and environmental awareness in a game, and the decision-making based on this awareness. [ 72 ] [ 73 ]",en,wikipedia_glossary
game world,"A field of social sciences that attempts to quantify or predict human behavior in various game-based scenarios, often where there is a reward or risk in taking certain actions.",en,wikipedia_glossary
gameplay,"The location in which a game's action takes place. May refer specifically to the game's environmental components, i.e., its constituent room s, level s, world s, and overworld , [ 74 ] or more broadly also encompass the game's mechanics and setting . [ 75 ]",en,wikipedia_glossary
gamer rage,"A player's interaction with a video game, defined through game rules, player-game interface, challenges, plot, and the player's connection with the game.",en,wikipedia_glossary
gamethrowing,See rage quit .,en,wikipedia_glossary
gating,"To use the element of surprise to flank and attack an enemy. More common in multiplayer games, where 'ganking' usually indicates an unwelcome attack on an unwilling or unsuspecting participant. [ 76 ]",en,wikipedia_glossary
ghost,"Abbreviation meaning ""good game"". Used as parting words exchanged at the end of a competitive game or match as a gesture of good sportsmanship. ""GGWP"" (good game, well played) is also used. ""GF"", a similar term to GG is also used it means ""Good Fight"". Due to this abbreviation being synonymous with a game's end, it is often used by spectators to indicate a situation, action or a move where a win of a particular player is obvious (e.g. ""This attack just wiped all the blue player's forces, that's a GG""). It can also be used to taunt players while a game is still in progress as an implication that their win is assured. Insulting variations, such as ""GGEZ"" (good game, easy) can similarly be used to imply the opposing player is unskilled.",en,wikipedia_glossary
Git gud,"1.  A character, character class, or character ability that is sufficiently underpowered to making using the gimp a severe handicap in the context of the game.",en,wikipedia_glossary
glass cannon,2.  A design choice that has this effect.,en,wikipedia_glossary
god mode,"Abbreviation meaning ""good luck, have fun"". Used as words exchanged at the beginning of a competitive game or match as a gesture of good sportsmanship. [ 80 ]",en,wikipedia_glossary
god roll,Also goated . Acronym for Greatest Of All Time .,en,wikipedia_glossary
gold farming,"Acronym for Game Of The Year , a game award given out annually by events and media publications to the games that they consider the best of that particular year. Game of the Year-awards are often divided in subcategories and an overall winner.",en,wikipedia_glossary
gold sink,"Also: infinite health , infinite life , invincibility , invulnerability A cheat that makes player-characters invulnerable. [ 13 ] : 119 Occasionally adds invincibility, where the player can hurt enemies by touching them (e.g., the Super Mario Super Star ). [ 81 ] : 357 The effect may be temporary. [ 82 ] See flashing invulnerability .",en,wikipedia_glossary
gone gold,"In games that generate randomized loot, the ""god roll"" is loot that has the subjectively best selection of possible random attributes such as perks and bonuses that could be generated for that particular piece of equipment.",en,wikipedia_glossary
graphic content filter,See farming .,en,wikipedia_glossary
griefer,"In-game activities that receive currency (gold) from players; in online multiplayer games, this functionally reduces the overall money supply [ 83 ]",en,wikipedia_glossary
grinding,"The point in the software-development cycle where the software is considered final and ready to be shipped. The term traditionally related to the production of games on CD-ROM, where the final version of the game, the master copy, would be written to a gold film-based writable CD and sent to be replicated for retail.",en,wikipedia_glossary
guild,A setting that controls whether the game displays graphic violence . [ 84 ],en,wikipedia_glossary
Hack vs Hack,Hack vs Hack (HvH) refers to using cheats to compete against other players using cheats.,en,wikipedia_glossary
handheld console,A portable gaming console ; i.e. one that is not connected to a TV or other peripheral device.  Nintendo's Game Boy is the most-recognizable example.,en,wikipedia_glossary
head bob,"In first-person view games, the up-and-down (and sometimes left-and-right) motion of the player's camera to simulate the bobbing of the player-character's head when walking or running. It is often an option that can be disabled as it may induce motion sickness in players.",en,wikipedia_glossary
headshot,"An attack that strikes the head of its target, causing extra (often fatal) damage. See critical hit .",en,wikipedia_glossary
head swap,"An animation technique in which a new head is put on an existing character model, to save memory or animation effort.",en,wikipedia_glossary
heal over time (HoT),An effect that restores health over a period of time; antonym of DoT .,en,wikipedia_glossary
health,"Also hit points (HP). An attribute showing how much damage a character can sustain before being incapacitated. Getting hurt lowers this meter and if it reaches zero that character can no longer continue. Depending on the game this can mean many different things (i.e. death, serious injury, knockout, or exhaustion).",en,wikipedia_glossary
heat map,"In video games, an overhead representation of a game level showing, through background game data collection, a statistic such as where player characters died or which route players took the most. Brighter spots or highly concentrated areas show where these events occurred the most. Such maps may be used by developers to help refine map design.",en,wikipedia_glossary
hero ban,"In multi-player game genres that feature unique hero characters, like MOBAs and hero shooters, a mechanism that bans the selection of certain heroes. This may be set by the game developer on a schedule, or a per-game voting mechanism by players.",en,wikipedia_glossary
hidden object game,A subgenre of puzzle video games in which the player must find items from a list that are hidden within a scene.,en,wikipedia_glossary
high score,Also hi-score . The highest logged score in a video game. See also leaderboard .,en,wikipedia_glossary
hit marker,Also damage ring . A visual effect that occurs every time the player-character lands a hit on the opponent; commonly seen in first-person shooter games like Call of Duty .,en,wikipedia_glossary
hit points (HP),See health .,en,wikipedia_glossary
hitbox,1.  The area or areas that can inflict damage or other effects to a character (usually not the one which created the hitbox).,en,wikipedia_glossary
hitscan,2. See hurtbox .,en,wikipedia_glossary
hitstun,"Commonly seen in first-person shooters , hitscan is used to determine hits along a path with no travel time. Some games use this technique to detect hits with firearms in contrast to physics-based projectiles which have noticeable travel time.",en,wikipedia_glossary
horde mode,Acronym for Hidden Object Puzzle Adventure. See hidden object game .,en,wikipedia_glossary
hurtbox,See survival mode .,en,wikipedia_glossary
idle animation,An animation that occurs when the player character is not performing any actions.,en,wikipedia_glossary
idle game,"A type of game where player progression happens without the player's input, and often even while the game is closed. See also clicker game .",en,wikipedia_glossary
iframes,Also i-frames . See invincibility frames .,en,wikipedia_glossary
in-app purchase (IAP),"A microtransaction in a mobile game (or regular app ), usually for virtual goods in free or cheap games. [ 5 ]",en,wikipedia_glossary
indie game,"Also independent video game . Loosely defined as a game made by a single person or a small studio without any financial, development, marketing, or distribution support from a large publisher , though there are exceptions.",en,wikipedia_glossary
infinite health,See god mode .,en,wikipedia_glossary
infinite life,See god mode .,en,wikipedia_glossary
infinite runner,See endless runner .,en,wikipedia_glossary
influencer,"A video game player or social media personality that is used as part of a game's promotion. Typically the influencer will be given a pre-release copy of a game to play and review to those people that follow them on social media or streaming sites, with the intent that those subscribers will be influenced to buy the game.",en,wikipedia_glossary
item level,"A number attached to a game item – e.g.: weapon, armor, or clothing – which roughly indicates the item's power, commonly seen in MMORPGs . A character who does not meet the required level of the item would be unable to equip it.",en,wikipedia_glossary
instance,See dungeon .,en,wikipedia_glossary
interface,"Also heads-up display ( HUD ). Graphic elements that communicate information to the player and aid interaction with the game, such as health bars, ammo meters, and maps. [ 15 ]",en,wikipedia_glossary
inventory,A menu or area of the screen where items collected by the player-character during the game can be selected. [ 15 ] This interface allows the player to retrieve single-use items for an instant effect or to equip the player-character with the item.,en,wikipedia_glossary
inventory management,"Preparations a player makes with their character's inventory, such as storing or retrieving items, repairing weapons, etc. Failure to manage an inventory properly may result in losing rare items or being less powerful in combat. Common in hardcore games with limited resources like RPGs and survival horror , while uncommon in more casual titles, which may have an infinite inventory or manage it automatically.",en,wikipedia_glossary
invincibility,See god mode .,en,wikipedia_glossary
invincibility frames,"A brief period of time where a player can't take damage from attacks. Invincibility frames are most commonly triggered by a player action (such as dodging or rolling), by taking damage or as a short period of safety after respawning. See also flashing invulnerability .",en,wikipedia_glossary
invisible wall,"An obstruction in a video game that halts movement in a specific direction, even though terrain and features can be seen beyond the boundary.",en,wikipedia_glossary
invulnerability,See god mode .,en,wikipedia_glossary
joke character,"A character included in a game for humorous reasons, such as having weak stats or an atypical appearance or personality. They may also function as an additional challenge or handicap for skilled players.",en,wikipedia_glossary
johning,The action of making excuses for losing (eg. Poor connection or joystick drift) other variants include pre-johning.,en,wikipedia_glossary
joystick,An input device consisting of a stick that pivots on a base and reports its angle or direction to the device it is controlling. Modern gaming joysticks have several buttons and may include a thumb-operated analog stick on top.,en,wikipedia_glossary
juggernaut,Refers to a game mode where many players face one overpowered enemy (called the Juggernaut) and try to defeat it. The player who kills it often becomes the next Juggernaut. [ 86 ] [ 87 ],en,wikipedia_glossary
kill-death ratio (K/D ratio or KDR),"A statistic typically found in player-versus-player video games, gauging the ratio between the number of opponents the player defeated and the number of deaths the player suffered at the hands of opponents.  More skilled players typically have higher kill-death ratios.",en,wikipedia_glossary
kill farming,When players are stationed near their opponent's spawn point and kill them the moment they respawn .,en,wikipedia_glossary
kill feed,"In multiplayer games, a portion of the game's user interface that shows the last few events (generally, when other players are killed) from the last few seconds, like a news feed.",en,wikipedia_glossary
kill screen,"Level 256 in Pac-Man is unbeatable due to a bug associated with an integer overflow in the game's code. A stage or level in a video game (often an arcade game ) that stops the player's progress due to a software bug . [ 88 ] Not to be mistaken for a game over screen, kill screens can result in unpredictable gameplay and bizarre glitches. [ 89 ]",en,wikipedia_glossary
kill stealing,"Defeating an enemy that someone else was about to defeat, usually to receive the reward or credit without doing most of the work. Considered 'bad form' in many online communities.",en,wikipedia_glossary
King of the Hill (KOTH),"A game mode where opposing teams try to occupy a single point on the map for a certain amount of time, or for as long as possible until the end of the match. [ 90 ] [ 91 ]",en,wikipedia_glossary
kiting,"1.  A maneuver in which a player-character gets an enemy NPC to chase after them so as to lead them somewhere else (like a kite on a string). This can be used to separate groups of enemies to prevent the player from becoming overwhelmed or in team-based or cooperative games to allow the player's teammates to attack the opponent, or to lure the opponent into a trap.",en,wikipedia_glossary
knock-back,"A game mechanic in many types of games where a character is thrown backwards from the force of an attack. During knock-back, the character is unable to change their direction until a short recovery animation is finished. [ 92 ] Knock-back sometimes results in falling down pits if the character is standing close to the edge when hit with a knock-back attack.",en,wikipedia_glossary
Konami Code,"The Konami Code A fixed series of controller button presses used across numerous Konami games to unlock special cheats (such as gaining a large number of lives in Contra ), and subsequently used by other developers to enable cheats or added functions in these games. The term applies to variations on this sequence but nearly all begin with ""up up down down left right left right"".",en,wikipedia_glossary
laner,A player role in MOBA games that focuses on one of the typically three lanes on the map.,en,wikipedia_glossary
LAN party,"A gathering of people who play multiplayer games together over a local network, often bringing their own computers or game systems with them. LAN is an acronym for Local Area Network.",en,wikipedia_glossary
last hitting,"The action of getting the killing blow on an NPC, receiving gold and experience points that would have been reduced or awarded to someone else. MOBA games, such as League of Legends and Dota 2 use this term and most other games use "" kill stealing "".",en,wikipedia_glossary
last man standing,"A multiplayer deathmatch mode in which the objective is not to achieve the most kills but to survive the longest, or alternatively to have the fewest character deaths in a given period of time.",en,wikipedia_glossary
launch game,"A game released simultaneously with its respective platform, or during its near-term launch window.",en,wikipedia_glossary
leaderboard,A list or table logging the highest scores achieved in a particular game. See also high score .,en,wikipedia_glossary
Let's Play (LP),"A type of video game walkthrough done by players, through screenshots or video, where the player provides commentary about the game as they work through it. [ 93 ]",en,wikipedia_glossary
level,"1.  A location in a game . Also area , map , stage , dungeon . Several levels may be grouped into a world . Some games include special bonus stages or secret levels .",en,wikipedia_glossary
level editor,"2.  A character's experience level in a role-playing game , which increases through playing the game to train a character's abilities. It serves as a rough indicator of that character's overall proficiency.",en,wikipedia_glossary
level scaling,3.  A round or wave in a single-location game with increasing difficulty.,en,wikipedia_glossary
"lifesteal (or ""life steal"")","Abbreviation of Looking For Group. Used by players looking to team up with others, the acronym is usually accompanied by a set of criteria or a player's specs .",en,wikipedia_glossary
light gun,"Abbreviation of Looking For More. Used by players who have an incomplete team and are looking for players to fill the remaining spots, the acronym is usually accompanied by a set of criteria (such as a level or class requirement).",en,wikipedia_glossary
live service games,"One of multiple chances that a player has to retry a task after failing. Losing all of one's lives is usually a loss condition and may force the player to start over. It is common in action games for the player-character to have multiple lives and chances to earn more during the game. This way, a player can recover from making a disastrous mistake. Role-playing games and adventure games usually give the player only one life, but allow them to reload a saved game if they fail. [ 95 ] [ 96 ] A life may similarly be defined as the period between the start and end of play for any character, from creation to destruction. [ 97 ]",en,wikipedia_glossary
loadout,"The ability of a character in game to steal the HP of an opponent, typically by attacking.",en,wikipedia_glossary
lobby,A specialized type of game controller that the player points at their television screen or monitor to interact with the game.,en,wikipedia_glossary
localization,See Games as a service .,en,wikipedia_glossary
longplay,"A specific set of in-game equipment, abilities, power-ups, and other items that a player sets for their character prior to the start of a game's match, round, or mission. Games that feature such loadouts typically allow players to store, recall, and adjust two or more loadouts so they can switch between them quickly.",en,wikipedia_glossary
local co-op,"An in-game area or menu in which players connect, congregate and/or plan before entering athe game proper, for instance before beginning a match or embarking on a raid .",en,wikipedia_glossary
local multiplayer,"During publishing, the process of editing a game for audiences in another region or country, primarily by translating the text and dialog of a video game. Localization can also involve changing content of the game to reflect different cultural values and censoring material that is against local law, or in some cases self-censoring in an effort to obtain a more commercially favorable content rating .",en,wikipedia_glossary
loot box,"A recorded playthrough of a game from the beginning to the end without any interruptions or commentary, often made as video walkthrough guides in case players get stuck on some parts of the game. Compare with Let's Play .",en,wikipedia_glossary
loot system,See couch co-op .,en,wikipedia_glossary
macro,"1.  The handling of larger scale decisions, primarily in real-time strategy games. See also micro .",en,wikipedia_glossary
magic,"2.  An usermade algorithm made-up of series of different actions such as spells or abilities made in order to save the player time and gain an advantage in PvP or just quickly shout certain cliché phrases, especially popular in MMORPG s.",en,wikipedia_glossary
main quest,"To focus on playing a certain character in a game, sometimes exclusively.",en,wikipedia_glossary
masocore,Also magic points . A pool of resources inherent to a character that determines the amount of magical abilities they are able to use.,en,wikipedia_glossary
massively multiplayer online game ( MMO ),"A portmanteau of masochist and hardcore , referring to a genre of punishingly difficult games, particularly the Dark Souls series and related Soulslikes as well as indie games such as I Wanna Be the Guy and Super Meat Boy . [ 100 ] The genre is popular among hardcore gamers . See also Nintendo hard . [ 101 ] [ 102 ]",en,wikipedia_glossary
massively multiplayer online role-playing game ( MMORPG ),"A game that involves a large community of players co-existing in an online world, in cooperation or competition with one another.",en,wikipedia_glossary
match-3 game,An MMO that incorporates traditional role-playing game mechanics. Games such as EverQuest and Dark Age of Camelot were progenitors of the genre. The most popular and most well-known game of this type is World of Warcraft .,en,wikipedia_glossary
matchmaking,"A popular subgenre of the tile-matching video game genre, where the number of tiles matches a player must make is three. Well-known match-3 games include Bejeweled and Candy Crush Saga .",en,wikipedia_glossary
maxed out,"A game system that automatically sorts players with similar playing styles, desires, objectives, or skill levels into a team or a group. In competitive games or modes, a matchmaking rating (MMR) is a number assigned to each player based on skill and is the basis for matching players. This rating goes up or down based on individual or team performance.",en,wikipedia_glossary
metagame,2.  Raising a character's statistics to the maximum value.,en,wikipedia_glossary
metastory,"3.  In real-time strategy games, recruiting units until the maximum number is reached.",en,wikipedia_glossary
Metroidbrainia,A common slang term for metagame or dominant strategy. Clipping of metagame . See also cheese .,en,wikipedia_glossary
Metroidvania,"1.  In games that encourage repeated playthrough s and match-based multiplayer games, the gameplay elements that are typically not part of the main game but can be invoked by the player to alter future playthroughs of the main game.",en,wikipedia_glossary
micro,"2.  A dominant strategy or set of strategies, often in the context of a competitive game.",en,wikipedia_glossary
microtransaction,"The sum total of all known or implied stories of every character in the game, every branching storyline, and all potential outcomes and backstory. [ 15 ]",en,wikipedia_glossary
minimap,"A genre of games, where progress is limited by the player's current comprehension of the game world, rather than in-game ability. [ 103 ] Where revisiting previous areas re-contextualizes perceived physical barriers into puzzles and riddles to be solved.",en,wikipedia_glossary
min-maxing,"A genre of exploration-focused games, usually featuring a large, interconnected world. Access to certain areas and defeating certain enemies requires items found elsewhere, necessitating exploration and defeating enemies to obtain them. These games are usually side-scrolling platformers or viewed from the top-down, although they can be found in 3D as well. Many borrow features from Roguelike games, such as permanent death. Named for two pioneers of the genre, the Metroid and Castlevania series.",en,wikipedia_glossary
miniboss,The handling of detailed gameplay elements by the player. See also macro .,en,wikipedia_glossary
minigame,"A business model used in games where players can purchase virtual goods via micropayments. Usually disliked by players, especially when the purchasable goods give players an advantage over players who did not purchase the goods. See also in-app purchase .",en,wikipedia_glossary
mission,"A smaller version of the play area, typically displayed in the corner of a players screen used for navigating the game world . May also display locations of friendly or enemy players. See also Radar .",en,wikipedia_glossary
MMORPG,"2.  Playing the meta , at possible detriment to the story or enjoyment of the game. Colloquialism.",en,wikipedia_glossary
modpack,See matchmaking .,en,wikipedia_glossary
monetization,"An in-game enemy that roams a specific area. Abbreviation of ""mobile"", it was first used in text-based online games in reference to non-player characters .",en,wikipedia_glossary
money hat,See multiplayer online battle arena .,en,wikipedia_glossary
motion blur,"A third-party addition or alteration to a game. Mods may take the form of new character skins, altered game mechanics or the creation of a new story or an entirely new game-world. Some games (such as Fallout 4 and Skyrim ) provide tools to create game mods, while other games that don't officially support game modifications can be altered or extended with the use of third-party tools.",en,wikipedia_glossary
motion control,"1.  Technical or non-play modes for the hardware or software of a video game, such as a diagnostic or configuration mode, video or sound test , or the attract mode of arcade games.",en,wikipedia_glossary
mount,2.  Gameplay modes which affect the game mechanics. See game mode .,en,wikipedia_glossary
mouselook,"A collection of mod s devised to work together to achieve an enhanced or redefined gameplay experience. Modpacks can come in varying dedicated categories depending on the game they're based on, with more universal examples being modpacks tailored towards general content addition or performance enhancement.",en,wikipedia_glossary
moveset,A broad term referring to various methods game developers and publishers have to make money off of their games.,en,wikipedia_glossary
mudflation,"A game system that requires physical movement by the player to control player character actions. Popularized by the Wii , motion control is available on most recent console and handheld systems. [ 23 ]",en,wikipedia_glossary
